avg,std,comparison,roi,cimin,cimax,p,sem,d,t
0.4916666666666667,0.2644438608770405,"('face', 'vehicle')",Foveal 0.5°,0.37760014813433646,0.605733185198997,0.5594043554868309,0.05514035670176671,-0.031512674583162606,-0.15112947814982675
0.5416666666666666,0.2343726851737539,"('face', 'vehicle')",Foveal 1°,0.4405711972986912,0.642762136034642,0.2013361313352129,0.048870083119988555,0.1777795336336943,0.8526006916003052
0.5833333333333334,0.23746344747958345,"('face', 'vehicle')",Foveal 1.5°,0.48090467931638303,0.6857619873502837,0.05295052430850851,0.04951455161117829,0.3509312031717984,1.6830069266853713
0.6083333333333334,0.27373446176094735,"('face', 'vehicle')",Foveal 2°,0.49025936121752445,0.7264073054491423,0.035158410973162316,0.05707758090131268,0.3957606676061892,1.8980014853930494
0.6166666666666667,0.27028791233711424,"('face', 'vehicle')",Foveal 2.5°,0.5000793461691725,0.7332539871641609,0.024928398065390416,0.05635892566768337,0.4316384911847453,2.070065482698941
0.5916666666666667,0.27975683885990865,"('face', 'vehicle')",Foveal 3°,0.47099497272555596,0.7123383606077773,0.06486982033260884,0.058333333333333334,0.32766550780397463,1.5714285714285716
0.5666666666666668,0.268741924943285,"('face', 'vehicle')",Foveal 3.5°,0.45074619999260457,0.682587133340729,0.12315060584234162,0.056036565012119434,0.24806946917841724,1.1896993802573066
0.5750000000000001,0.27271780286589287,"('face', 'vehicle')",Foveal 4°,0.4573645585436255,0.6926354414563747,0.10009222903874072,0.05686559286751448,0.27500954910846365,1.3188994648263872
0.6083333333333334,0.3026503299555813,"('face', 'vehicle')",Peripheral,0.4777866480890648,0.738880018577602,0.049740234340492594,0.06310695621486836,0.357948836035411,1.7166623115917197
0.5083333333333333,0.2827199242281229,"('face', 'vehicle')",Opposite,0.38638352754290484,0.6302831391237618,0.44440823984486894,0.05895117934268763,0.0294755785468068,0.14135990876265617
0.975,0.06614378277661474,"('face', 'vehicle')",FFA,0.9464692146799533,1.0035307853200468,1.3506369838198654e-21,0.01379193210918426,7.181324987175319,34.4404247526487
0.6708333333333334,0.26532867458221615,"('face', 'vehicle')",LOC,0.5563851548957047,0.7852815117709621,0.0025976375081441048,0.055324853113051076,0.6438555259898909,3.087822628001411
0.4916666666666667,0.2827199242281229,"('female', 'male')",Foveal 0.5°,0.36971686087623823,0.6136164724570952,0.555591760155131,0.05895117934268763,-0.0294755785468068,-0.14135990876265617
